,name,sex,age,height,weight,team,noc,city,sport,event,Bronze,Gold,Silver
618,Yusup Abdusalomov,M,34.0,170.0,84.0,Tajikistan,TJK,London,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",0,0,0
660,Mojtaba Abedini Shormasti,M,27.0,180.0,83.0,Iran,IRI,London,Fencing,"Fencing Men's Sabre, Individual",0,0,0
683,Jennifer Abel,F,20.0,160.0,62.0,Canada,CAN,London,Diving,Diving Women's Springboard,0,0,0
684,Jennifer Abel,F,20.0,160.0,62.0,Canada,CAN,London,Diving,Diving Women's Synchronized Springboard,1,0,0
701,Yaritza Abel Rojas,F,28.0,,62.0,Cuba,CUB,London,Judo,Judo Women's Half-Middleweight,0,0,0
733,Mohamed Aberhoune,M,23.0,187.0,75.0,Morocco,MAR,London,Football,Football Men's Football,0,0,0
758,Pablo Abin Vicen,M,27.0,177.0,68.0,Spain,ESP,London,Badminton,Badminton Men's Singles,0,0,0
768,Tomomi Abiko,F,24.0,173.0,53.0,Japan,JPN,London,Athletics,Athletics Women's Pole Vault,0,0,0
772,Camille Anne Franoise Abily,F,27.0,168.0,60.0,France,FRA,London,Football,Football Women's Football,0,0,0
774,Endurance Abinuwa,F,24.0,159.0,54.0,Nigeria,NGR,London,Athletics,Athletics Women's 4 x 100 metres Relay,0,0,0
788,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,London,Gymnastics,Gymnastics Men's Team All-Around,0,0,0
789,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,London,Gymnastics,Gymnastics Men's Floor Exercise,1,0,0
790,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,London,Gymnastics,Gymnastics Men's Horse Vault,0,0,1
791,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,London,Gymnastics,Gymnastics Men's Parallel Bars,0,0,0
792,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Russia,RUS,London,Gymnastics,Gymnastics Men's Horizontal Bar,0,0,0
